Date,equity
2022-07-19,99992.99995753348
2022-07-20,99992.99995753348
2022-07-21,99992.99995753348
2022-07-22,99992.99995753348
2022-07-25,99992.99995753348
2022-07-26,99992.99995753348
2022-07-27,99992.99995753348
2022-07-28,99992.99995753348
2022-07-29,99992.99995753348
2022-08-01,99992.99995753348
2022-08-02,99992.99995753348
2022-08-03,99992.99995753348
2022-08-04,99992.99995753348
2022-08-05,99992.99995753348
2022-08-08,99992.99995753348
2022-08-09,99992.99995753348
2022-08-10,99992.99995753348
2022-08-11,99992.99995753348
2022-08-12,99992.99995753348
2022-08-15,99992.99995753348
2022-08-16,99992.99995753348
2022-08-17,99992.99995753348
2022-08-18,99992.99995753348
2022-08-19,99992.99995753348
2022-08-22,99992.99995753348
2022-08-23,99992.99995753348
2022-08-24,99992.99995753348
2022-08-25,99992.99995753348
2022-08-26,99992.99995753348
2022-08-29,99992.99995753348
2022-08-30,99992.99995753348
2022-08-31,99992.99995753348
2022-09-01,99992.99995753348
2022-09-02,99729.67839659989
2022-09-06,99649.03847350419
2022-09-07,99739.12897338212
2022-09-08,99644.62897338212
2022-09-09,99827.9582427913
2022-09-12,100209.7380889827
2022-09-13,99605.5683196956
2022-09-14,99698.17839659989
2022-09-15,99512.9582427913
2022-09-16,99407.74835814774
2022-09-19,99645.88828124345
2022-09-20,99798.348165887
2022-09-21,99598.00862731278
2022-09-22,99536.26889647782
2022-09-23,99390.7380889827
2022-09-26,99412.15881957352
2022-09-27,99474.52820433915
2022-09-28,99353.5683196956
2022-09-29,98889.88828124345
2022-09-30,98620.24835814774
2022-10-03,98887.99835814774
2022-10-04,99117.94893492997
2022-10-05,99136.848165887
2022-10-06,99075.7380889827
2022-10-07,98739.3183196956
2022-10-10,98760.10843505204
2022-10-11,98669.38828124345
2022-10-12,98629.0683196956
2022-10-13,98922.01889647782
2022-10-14,98631.58885802567
2022-10-17,98885.47878112138
2022-10-18,98969.89855040848
2022-10-19,98976.82858886063
2022-10-20,98947.21851195634
2022-10-21,99191.65881957352
2022-10-24,99328.99835814774
2022-10-25,99511.0683196956
2022-10-26,99322.69893492997
2022-10-27,99036.04874266923
2022-10-28,99725.26889647782
2022-10-31,99574.0683196956
2022-11-01,99404.598165887
2022-11-02,99050.53847350419
2022-11-03,98663.08885802567
2022-11-04,98631.58885802567
2022-11-07,98665.60843505204
2022-11-08,98702.14855040848
2022-11-09,98410.4582427913
2022-11-10,99166.4582427913
2022-11-11,99344.74835814774
2022-11-14,99255.28847350419
2022-11-15,99366.16812743485
2022-11-16,99287.41812743485
2022-11-17,99409.00862731278
2022-11-18,99444.91812743485
2022-11-21,99238.27820433915
2022-11-22,99374.9880889827
2022-11-23,99431.05901183427
2022-11-25,99244.57858886063
2022-11-28,98999.50862731278
2022-11-29,98807.35843505204
2022-11-30,99239.53847350419
2022-12-01,99257.17839659989
2022-12-02,99225.67839659989
2022-12-05,99151.33885802567
2022-12-06,98916.97878112138
2022-12-07,98792.86870421708
2022-12-08,98900.598165887
2022-12-09,98869.72878112138
2022-12-12,99016.51889647782
2022-12-13,99078.25862731278
2022-12-14,98935.87897338212
2022-12-15,98513.14855040848
2022-12-16,98387.77820433915
2022-12-19,98252.9582427913
2022-12-20,98248.54874266923
2022-12-21,98446.99835814774
2022-12-22,98244.13828124345
2022-12-23,98220.82858886063
2022-12-27,98105.53847350419
2022-12-28,97854.16860808671
2022-12-29,98079.07858886063
2022-12-30,98099.2380889827
